College,Branch,Category,Closing_Rank
CVR,MTECH-CSE,BC-B,1192
CVR,MTECH-CSE,BC-C,1104
CVR,MTECH-CSE,BC-D,1148
CVR,MTECH-CSE,SC,1052
CVR,MTECH-CSE,ST,1132
CVR,MTECH-ECE,OC,1494
CVR,MTECH-ECE,BC-A,1631
CVR,MTECH-ECE,BC-B,1562
CVR,MTECH-ECE,BC-C,1242
CVR,MTECH-ECE,BC-D,1352
CVR,MTECH-ECE,SC,1506
CVR,MTECH-ECE,ST,1411
CVR,MTECH-EEE,OC,1298
CVR,MTECH-EEE,BC-A,1564
CVR,MTECH-EEE,BC-B,1655
CVR,MTECH-EEE,BC-C,1365
CVR,MTECH-EEE,BC-D,1277
CVR,MTECH-EEE,SC,1717
CVR,MTECH-EEE,ST,1437
CVR,MTECH-MECH,OC,1550
CVR,MTECH-MECH,BC-A,1396
CVR,MTECH-MECH,BC-B,1753
CVR,MTECH-MECH,BC-C,1484
CVR,MTECH-MECH,BC-D,1371
CVR,MTECH-MECH,SC,1370
CVR,MTECH-MECH,ST,1761
CVR,MTECH-CIVIL,OC,1482
CVR,MTECH-CIVIL,BC-A,1676
CVR,MTECH-CIVIL,BC-B,1611
CVR,MTECH-CIVIL,BC-C,1591
CVR,MTECH-CIVIL,BC-D,1272
CVR,MTECH-CIVIL,SC,1680
CVR,MTECH-CIVIL,ST,1670
MGIT,MTECH-CSE,OC,1719
MGIT,MTECH-CSE,BC-A,1606
MGIT,MTECH-CSE,BC-B,1712
MGIT,MTECH-CSE,BC-C,1613
MGIT,MTECH-CSE,BC-D,1534
MGIT,MTECH-CSE,SC,1325
MGIT,MTECH-CSE,ST,1586
MGIT,MTECH-ECE,OC,1645
MGIT,MTECH-ECE,BC-A,1536
MGIT,MTECH-ECE,BC-B,1803
MGIT,MTECH-ECE,BC-C,1792
MGIT,MTECH-ECE,BC-D,1684
MGIT,MTECH-ECE,SC,1921
MGIT,MTECH-ECE,ST,1630
MGIT,MTECH-EEE,OC,1500
MGIT,MTECH-EEE,BC-A,1911
MGIT,MTECH-EEE,BC-B,1534
MGIT,MTECH-EEE,BC-C,1706
MGIT,MTECH-EEE,BC-D,1581
MGIT,MTECH-EEE,SC,1698
MGIT,MTECH-EEE,ST,1738
MGIT,MTECH-MECH,OC,1679
MGIT,MTECH-MECH,BC-A,1428
MGIT,MTECH-MECH,BC-B,1505
MGIT,MTECH-MECH,BC-C,1391
MGIT,MTECH-MECH,BC-D,1366
MGIT,MTECH-MECH,SC,1811
MGIT,MTECH-MECH,ST,1762
MGIT,MTECH-CIVIL,OC,1684
MGIT,MTECH-CIVIL,BC-A,1676
MGIT,MTECH-CIVIL,BC-B,1545
MGIT,MTECH-CIVIL,BC-C,1858
MGIT,MTECH-CIVIL,BC-D,1924
MGIT,MTECH-CIVIL,SC,1964
MGIT,MTECH-CIVIL,ST,1847
GRIET,MTECH-CSE,OC,505
GRIET,MTECH-CSE,BC-A,845
GRIET,MTECH-CSE,BC-B,734
GRIET,MTECH-CSE,BC-C,678
GRIET,MTECH-CSE,BC-D,807
GRIET,MTECH-CSE,SC,489
GRIET,MTECH-CSE,ST,870
GRIET,MTECH-ECE,OC,933
GRIET,MTECH-ECE,BC-A,832
GRIET,MTECH-ECE,BC-B,882
GRIET,MTECH-ECE,BC-C,965
GRIET,MTECH-ECE,BC-D,593
GRIET,MTECH-ECE,SC,965
GRIET,MTECH-ECE,ST,858
GRIET,MTECH-EEE,OC,892
GRIET,MTECH-EEE,BC-A,523
GRIET,MTECH-EEE,BC-B,900
GRIET,MTECH-EEE,BC-C,838
GRIET,MTECH-EEE,BC-D,600
GRIET,MTECH-EEE,SC,628
GRIET,MTECH-EEE,ST,860
GRIET,MTECH-MECH,OC,744
GRIET,MTECH-MECH,BC-A,839
GRIET,MTECH-MECH,BC-B,881
GRIET,MTECH-MECH,BC-C,837
GRIET,MTECH-MECH,BC-D,983
GRIET,MTECH-MECH,SC,734
GRIET,MTECH-MECH,ST,567
GRIET,MTECH-CIVIL,OC,801
GRIET,MTECH-CIVIL,BC-A,602
GRIET,MTECH-CIVIL,BC-B,907
GRIET,MTECH-CIVIL,BC-C,1033
GRIET,MTECH-CIVIL,BC-D,610
GRIET,MTECH-CIVIL,SC,1044
GRIET,MTECH-CIVIL,ST,813
MREC,MTECH-CSE,OC,1588
MREC,MTECH-CSE,BC-A,1821
MREC,MTECH-CSE,BC-B,1404
MREC,MTECH-CSE,BC-C,1642
MREC,MTECH-CSE,BC-D,1418
MREC,MTECH-CSE,SC,1655
MREC,MTECH-CSE,ST,1655
MREC,MTECH-ECE,OC,1540
MREC,MTECH-ECE,BC-A,1618
MREC,MTECH-ECE,BC-B,1327
MREC,MTECH-ECE,BC-C,1329
MREC,MTECH-ECE,BC-D,1555
MREC,MTECH-ECE,SC,1544
MREC,MTECH-ECE,ST,1196
MREC,MTECH-EEE,OC,1426
MREC,MTECH-EEE,BC-A,1673
MREC,MTECH-EEE,BC-B,1525
MREC,MTECH-EEE,BC-C,1643
MREC,MTECH-EEE,BC-D,1691
MREC,MTECH-EEE,SC,1552
MREC,MTECH-EEE,ST,1743
MREC,MTECH-MECH,OC,1235
MREC,MTECH-MECH,BC-A,1297
MREC,MTECH-MECH,BC-B,1461
MREC,MTECH-MECH,BC-C,1329
MREC,MTECH-MECH,BC-D,1320
MREC,MTECH-MECH,SC,1506
MREC,MTECH-MECH,ST,1358
MREC,MTECH-CIVIL,OC,1598
MREC,MTECH-CIVIL,BC-A,1315
MREC,MTECH-CIVIL,BC-B,1470
MREC,MTECH-CIVIL,BC-C,1354
MREC,MTECH-CIVIL,BC-D,1636
MREC,MTECH-CIVIL,SC,1492
MREC,MTECH-CIVIL,ST,1537
SNIST,MTECH-CSE,OC,1420
SNIST,MTECH-CSE,BC-A,1501
SNIST,MTECH-CSE,BC-B,1736
SNIST,MTECH-CSE,BC-C,1724
SNIST,MTECH-CSE,BC-D,1666
SNIST,MTECH-CSE,SC,1665
SNIST,MTECH-CSE,ST,1791
SNIST,MTECH-ECE,OC,1677
SNIST,MTECH-ECE,BC-A,1608
SNIST,MTECH-ECE,BC-B,1769
SNIST,MTECH-ECE,BC-C,1576
SNIST,MTECH-ECE,BC-D,1670
SNIST,MTECH-ECE,SC,1552
SNIST,MTECH-ECE,ST,1471
SNIST,MTECH-EEE,OC,1710
SNIST,MTECH-EEE,BC-A,1707
SNIST,MTECH-EEE,BC-B,1802
SNIST,MTECH-EEE,BC-C,1796
SNIST,MTECH-EEE,BC-D,1791
SNIST,MTECH-EEE,SC,1692
SNIST,MTECH-EEE,ST,1713
SNIST,MTECH-MECH,OC,1563
SNIST,MTECH-MECH,BC-A,1955
SNIST,MTECH-MECH,BC-B,1952
SNIST,MTECH-MECH,BC-C,1762
SNIST,MTECH-MECH,BC-D,1872
SNIST,MTECH-MECH,SC,1585
SNIST,MTECH-MECH,ST,1712
SNIST,MTECH-CIVIL,OC,1448
SNIST,MTECH-CIVIL,BC-A,1702
SNIST,MTECH-CIVIL,BC-B,1924
SNIST,MTECH-CIVIL,BC-C,1534
SNIST,MTECH-CIVIL,BC-D,1714
SNIST,MTECH-CIVIL,SC,1576
SNIST,MTECH-CIVIL,ST,1444
VCE,MTECH-CSE,OC,339
VCE,MTECH-CSE,BC-A,565
VCE,MTECH-CSE,BC-B,613
VCE,MTECH-CSE,BC-C,392
VCE,MTECH-CSE,BC-D,611
VCE,MTECH-CSE,SC,681
VCE,MTECH-CSE,ST,565
VCE,MTECH-ECE,OC,985
VCE,MTECH-ECE,BC-A,877
VCE,MTECH-ECE,BC-B,659
VCE,MTECH-ECE,BC-C,723
VCE,MTECH-ECE,BC-D,564
VCE,MTECH-ECE,SC,869
VCE,MTECH-ECE,ST,772
VCE,MTECH-EEE,OC,461
VCE,MTECH-EEE,BC-A,432
VCE,MTECH-EEE,BC-B,515
VCE,MTECH-EEE,BC-C,589
VCE,MTECH-EEE,BC-D,458
VCE,MTECH-EEE,SC,822
VCE,MTECH-EEE,ST,844
VCE,MTECH-MECH,OC,831
VCE,MTECH-MECH,BC-A,638
VCE,MTECH-MECH,BC-B,869
VCE,MTECH-MECH,BC-C,843
VCE,MTECH-MECH,BC-D,438
VCE,MTECH-MECH,SC,901
VCE,MTECH-MECH,ST,806
VCE,MTECH-CIVIL,OC,821
VCE,MTECH-CIVIL,BC-A,724
VCE,MTECH-CIVIL,BC-B,680
VCE,MTECH-CIVIL,BC-C,483
VCE,MTECH-CIVIL,BC-D,489
VCE,MTECH-CIVIL,SC,539
VCE,MTECH-CIVIL,ST,835
KUCE,MTECH-CSE,OC,1109
KUCE,MTECH-CSE,BC-A,1437
KUCE,MTECH-CSE,BC-B,1362
KUCE,MTECH-CSE,BC-C,1162
KUCE,MTECH-CSE,BC-D,1409
KUCE,MTECH-CSE,SC,1079
KUCE,MTECH-CSE,ST,1376
KUCE,MTECH-ECE,OC,1132
KUCE,MTECH-ECE,BC-A,1180
KUCE,MTECH-ECE,BC-B,1182
KUCE,MTECH-ECE,BC-C,1175
KUCE,MTECH-ECE,BC-D,1292
KUCE,MTECH-ECE,SC,1214
KUCE,MTECH-ECE,ST,1188
KUCE,MTECH-EEE,OC,1410
KUCE,MTECH-EEE,BC-A,1311
KUCE,MTECH-EEE,BC-B,1142
KUCE,MTECH-EEE,BC-C,1287
KUCE,MTECH-EEE,BC-D,1147
KUCE,MTECH-EEE,SC,1099
KUCE,MTECH-EEE,ST,1248
KUCE,MTECH-MECH,OC,1109
KUCE,MTECH-MECH,BC-A,1216
KUCE,MTECH-MECH,BC-B,1077
KUCE,MTECH-MECH,BC-C,1186
KUCE,MTECH-MECH,BC-D,991
KUCE,MTECH-MECH,SC,1071
KUCE,MTECH-MECH,ST,988
KUCE,MTECH-CIVIL,OC,1440
KUCE,MTECH-CIVIL,BC-A,1280
KUCE,MTECH-CIVIL,BC-B,984
KUCE,MTECH-CIVIL,BC-C,1242
KUCE,MTECH-CIVIL,BC-D,1311
KUCE,MTECH-CIVIL,SC,1326
KUCE,MTECH-CIVIL,ST,1230
UCEOU,MTECH-CSE,OC,1216
UCEOU,MTECH-CSE,BC-A,1267
UCEOU,MTECH-CSE,BC-B,1315
UCEOU,MTECH-CSE,BC-C,1425
UCEOU,MTECH-CSE,BC-D,1330
UCEOU,MTECH-CSE,SC,1349
UCEOU,MTECH-CSE,ST,1379
UCEOU,MTECH-ECE,OC,1000
UCEOU,MTECH-ECE,BC-A,889
UCEOU,MTECH-ECE,BC-B,912
UCEOU,MTECH-ECE,BC-C,1110
UCEOU,MTECH-ECE,BC-D,1071
UCEOU,MTECH-ECE,SC,833
UCEOU,MTECH-ECE,ST,964
UCEOU,MTECH-EEE,OC,834
UCEOU,MTECH-EEE,BC-A,1107
UCEOU,MTECH-EEE,BC-B,887
UCEOU,MTECH-EEE,BC-C,855
UCEOU,MTECH-EEE,BC-D,924
UCEOU,MTECH-EEE,SC,890
UCEOU,MTECH-EEE,ST,797
UCEOU,MTECH-MECH,OC,1034
UCEOU,MTECH-MECH,BC-A,965
UCEOU,MTECH-MECH,BC-B,1401
UCEOU,MTECH-MECH,BC-C,1121
UCEOU,MTECH-MECH,BC-D,964
UCEOU,MTECH-MECH,SC,1160
UCEOU,MTECH-MECH,ST,1021
UCEOU,MTECH-CIVIL,OC,1191
UCEOU,MTECH-CIVIL,BC-A,1117
UCEOU,MTECH-CIVIL,BC-B,1133
UCEOU,MTECH-CIVIL,BC-C,1208
UCEOU,MTECH-CIVIL,BC-D,897
UCEOU,MTECH-CIVIL,SC,1273
UCEOU,MTECH-CIVIL,ST,1258
BVRIET,MTECH-CSE,OC,1479
BVRIET,MTECH-CSE,BC-A,1928
BVRIET,MTECH-CSE,BC-B,1799
BVRIET,MTECH-CSE,BC-C,1532
BVRIET,MTECH-CSE,BC-D,1854
BVRIET,MTECH-CSE,SC,1464
BVRIET,MTECH-CSE,ST,1866
BVRIET,MTECH-ECE,OC,1834
BVRIET,MTECH-ECE,BC-A,1703
BVRIET,MTECH-ECE,BC-B,1937
BVRIET,MTECH-ECE,BC-C,1893
BVRIET,MTECH-ECE,BC-D,1708
BVRIET,MTECH-ECE,SC,1712
BVRIET,MTECH-ECE,ST,1582
BVRIET,MTECH-EEE,OC,1432
BVRIET,MTECH-EEE,BC-A,1775
BVRIET,MTECH-EEE,BC-B,1528
BVRIET,MTECH-EEE,BC-C,1552
BVRIET,MTECH-EEE,BC-D,1779
BVRIET,MTECH-EEE,SC,1681
BVRIET,MTECH-EEE,ST,1603
BVRIET,MTECH-MECH,OC,1860
BVRIET,MTECH-MECH,BC-A,1890
BVRIET,MTECH-MECH,BC-B,1636
BVRIET,MTECH-MECH,BC-C,1664
BVRIET,MTECH-MECH,BC-D,1770
BVRIET,MTECH-MECH,SC,1873
BVRIET,MTECH-MECH,ST,1705
BVRIET,MTECH-CIVIL,OC,1760
BVRIET,MTECH-CIVIL,BC-A,1990
BVRIET,MTECH-CIVIL,BC-B,1678
BVRIET,MTECH-CIVIL,BC-C,1675
BVRIET,MTECH-CIVIL,BC-D,1784
BVRIET,MTECH-CIVIL,SC,1827
BVRIET,MTECH-CIVIL,ST,1780
Anurag Engineering College,MTECH-CSE,OC,1489
Anurag Engineering College,MTECH-CSE,BC-A,1621
Anurag Engineering College,MTECH-CSE,BC-B,1368
Anurag Engineering College,MTECH-CSE,BC-C,1743
Anurag Engineering College,MTECH-CSE,BC-D,1359
Anurag Engineering College,MTECH-CSE,SC,1709
Anurag Engineering College,MTECH-CSE,ST,1591
Anurag Engineering College,MTECH-ECE,OC,1447
Anurag Engineering College,MTECH-ECE,BC-A,1463
Anurag Engineering College,MTECH-ECE,BC-B,1438
Anurag Engineering College,MTECH-ECE,BC-C,1550
Anurag Engineering College,MTECH-ECE,BC-D,1510
Anurag Engineering College,MTECH-ECE,SC,1437
Anurag Engineering College,MTECH-ECE,ST,1331
Anurag Engineering College,MTECH-EEE,OC,1530
Anurag Engineering College,MTECH-EEE,BC-A,1381
Anurag Engineering College,MTECH-EEE,BC-B,1265
Anurag Engineering College,MTECH-EEE,BC-C,1351
Anurag Engineering College,MTECH-EEE,BC-D,1239
Anurag Engineering College,MTECH-EEE,SC,1408
Anurag Engineering College,MTECH-EEE,ST,1416
Anurag Engineering College,MTECH-MECH,OC,1754
Anurag Engineering College,MTECH-MECH,BC-A,1622
Anurag Engineering College,MTECH-MECH,BC-B,1473
Anurag Engineering College,MTECH-MECH,BC-C,1414
Anurag Engineering College,MTECH-MECH,BC-D,1472
Anurag Engineering College,MTECH-MECH,SC,1745
Anurag Engineering College,MTECH-MECH,ST,1639
Anurag Engineering College,MTECH-CIVIL,OC,1631
Anurag Engineering College,MTECH-CIVIL,BC-A,1445
Anurag Engineering College,MTECH-CIVIL,BC-B,1471
Anurag Engineering College,MTECH-CIVIL,BC-C,1380
Anurag Engineering College,MTECH-CIVIL,BC-D,1569
Anurag Engineering College,MTECH-CIVIL,SC,1295
Anurag Engineering College,MTECH-CIVIL,ST,1529
CMR Engineering College,MTECH-CSE,OC,1427
CMR Engineering College,MTECH-CSE,BC-A,1509
CMR Engineering College,MTECH-CSE,BC-B,1521
CMR Engineering College,MTECH-CSE,BC-C,1354
CMR Engineering College,MTECH-CSE,BC-D,1556
CMR Engineering College,MTECH-CSE,SC,1484
CMR Engineering College,MTECH-CSE,ST,1297
CMR Engineering College,MTECH-ECE,OC,1458
CMR Engineering College,MTECH-ECE,BC-A,1167
CMR Engineering College,MTECH-ECE,BC-B,1174
CMR Engineering College,MTECH-ECE,BC-C,1272
CMR Engineering College,MTECH-ECE,BC-D,1596
CMR Engineering College,MTECH-ECE,SC,1192
CMR Engineering College,MTECH-ECE,ST,1115
CMR Engineering College,MTECH-EEE,OC,1197
CMR Engineering College,MTECH-EEE,BC-A,1519
CMR Engineering College,MTECH-EEE,BC-B,1293
CMR Engineering College,MTECH-EEE,BC-C,1434
CMR Engineering College,MTECH-EEE,BC-D,1396
CMR Engineering College,MTECH-EEE,SC,1530
CMR Engineering College,MTECH-EEE,ST,1221
CMR Engineering College,MTECH-MECH,OC,1271
CMR Engineering College,MTECH-MECH,BC-A,1560
CMR Engineering College,MTECH-MECH,BC-B,1132
CMR Engineering College,MTECH-MECH,BC-C,1269
CMR Engineering College,MTECH-MECH,BC-D,1229
CMR Engineering College,MTECH-MECH,SC,1131
CMR Engineering College,MTECH-MECH,ST,1224
CMR Engineering College,MTECH-CIVIL,OC,1385
CMR Engineering College,MTECH-CIVIL,BC-A,1537
CMR Engineering College,MTECH-CIVIL,BC-B,1672
CMR Engineering College,MTECH-CIVIL,BC-C,1550
CMR Engineering College,MTECH-CIVIL,BC-D,1736
CMR Engineering College,MTECH-CIVIL,SC,1401
CMR Engineering College,MTECH-CIVIL,ST,1508
Malla Reddy Engineering College,MTECH-CSE,OC,1270
Malla Reddy Engineering College,MTECH-CSE,BC-A,1141
Malla Reddy Engineering College,MTECH-CSE,BC-B,1216
Malla Reddy Engineering College,MTECH-CSE,BC-C,1338
Malla Reddy Engineering College,MTECH-CSE,BC-D,1015
Malla Reddy Engineering College,MTECH-CSE,SC,1028
Malla Reddy Engineering College,MTECH-CSE,ST,1435
Malla Reddy Engineering College,MTECH-ECE,OC,1544
Malla Reddy Engineering College,MTECH-ECE,BC-A,1440
Malla Reddy Engineering College,MTECH-ECE,BC-B,1472
Malla Reddy Engineering College,MTECH-ECE,BC-C,1253
Malla Reddy Engineering College,MTECH-ECE,BC-D,1326
Malla Reddy Engineering College,MTECH-ECE,SC,1336
Malla Reddy Engineering College,MTECH-ECE,ST,1461
Malla Reddy Engineering College,MTECH-EEE,OC,1343
Malla Reddy Engineering College,MTECH-EEE,BC-A,1180
Malla Reddy Engineering College,MTECH-EEE,BC-B,986
Malla Reddy Engineering College,MTECH-EEE,BC-C,1413
Malla Reddy Engineering College,MTECH-EEE,BC-D,982
Malla Reddy Engineering College,MTECH-EEE,SC,1430
Malla Reddy Engineering College,MTECH-EEE,ST,966
Malla Reddy Engineering College,MTECH-MECH,OC,1445
Malla Reddy Engineering College,MTECH-MECH,BC-A,1268
Malla Reddy Engineering College,MTECH-MECH,BC-B,1500
Malla Reddy Engineering College,MTECH-MECH,BC-C,1527
Malla Reddy Engineering College,MTECH-MECH,BC-D,1177
Malla Reddy Engineering College,MTECH-MECH,SC,1302
Malla Reddy Engineering College,MTECH-MECH,ST,1186
Malla Reddy Engineering College,MTECH-CIVIL,OC,1429
Malla Reddy Engineering College,MTECH-CIVIL,BC-A,1370
Malla Reddy Engineering College,MTECH-CIVIL,BC-B,1394
Malla Reddy Engineering College,MTECH-CIVIL,BC-C,1109
Malla Reddy Engineering College,MTECH-CIVIL,BC-D,1351
Malla Reddy Engineering College,MTECH-CIVIL,SC,1520
Malla Reddy Engineering College,MTECH-CIVIL,ST,1416
Malla Reddy Institute of Technology,MTECH-CSE,OC,764
Malla Reddy Institute of Technology,MTECH-CSE,BC-A,613
Malla Reddy Institute of Technology,MTECH-CSE,BC-B,684
Malla Reddy Institute of Technology,MTECH-CSE,BC-C,943
Malla Reddy Institute of Technology,MTECH-CSE,BC-D,1094
Malla Reddy Institute of Technology,MTECH-CSE,SC,680
Malla Reddy Institute of Technology,MTECH-CSE,ST,778
Malla Reddy Institute of Technology,MTECH-ECE,OC,959
Malla Reddy Institute of Technology,MTECH-ECE,BC-A,563
Malla Reddy Institute of Technology,MTECH-ECE,BC-B,944
Malla Reddy Institute of Technology,MTECH-ECE,BC-C,817
Malla Reddy Institute of Technology,MTECH-ECE,BC-D,877
Malla Reddy Institute of Technology,MTECH-ECE,SC,887
Malla Reddy Institute of Technology,MTECH-ECE,ST,673
Malla Reddy Institute of Technology,MTECH-EEE,OC,554
Malla Reddy Institute of Technology,MTECH-EEE,BC-A,607
Malla Reddy Institute of Technology,MTECH-EEE,BC-B,890
Malla Reddy Institute of Technology,MTECH-EEE,BC-C,644
Malla Reddy Institute of Technology,MTECH-EEE,BC-D,489
Malla Reddy Institute of Technology,MTECH-EEE,SC,696
Malla Reddy Institute of Technology,MTECH-EEE,ST,840
Malla Reddy Institute of Technology,MTECH-MECH,OC,522
Malla Reddy Institute of Technology,MTECH-MECH,BC-A,646
Malla Reddy Institute of Technology,MTECH-MECH,BC-B,743
Malla Reddy Institute of Technology,MTECH-MECH,BC-C,471
Malla Reddy Institute of Technology,MTECH-MECH,BC-D,566
Malla Reddy Institute of Technology,MTECH-MECH,SC,870
Malla Reddy Institute of Technology,MTECH-MECH,ST,403
Malla Reddy Institute of Technology,MTECH-CIVIL,OC,497
Malla Reddy Institute of Technology,MTECH-CIVIL,BC-A,755
Malla Reddy Institute of Technology,MTECH-CIVIL,BC-B,859
Malla Reddy Institute of Technology,MTECH-CIVIL,BC-C,875
Malla Reddy Institute of Technology,MTECH-CIVIL,BC-D,634
Malla Reddy Institute of Technology,MTECH-CIVIL,SC,974
Malla Reddy Institute of Technology,MTECH-CIVIL,ST,900
SR Engineering College,MTECH-CSE,OC,1650
SR Engineering College,MTECH-CSE,BC-A,1837
SR Engineering College,MTECH-CSE,BC-B,1546
SR Engineering College,MTECH-CSE,BC-C,1343
SR Engineering College,MTECH-CSE,BC-D,1698
SR Engineering College,MTECH-CSE,SC,1365
SR Engineering College,MTECH-CSE,ST,1369
SR Engineering College,MTECH-ECE,OC,1542
SR Engineering College,MTECH-ECE,BC-A,1290
SR Engineering College,MTECH-ECE,BC-B,1415
SR Engineering College,MTECH-ECE,BC-C,1281
SR Engineering College,MTECH-ECE,BC-D,1522
SR Engineering College,MTECH-ECE,SC,1558
SR Engineering College,MTECH-ECE,ST,1461
SR Engineering College,MTECH-EEE,OC,1442
SR Engineering College,MTECH-EEE,BC-A,1571
SR Engineering College,MTECH-EEE,BC-B,1826
SR Engineering College,MTECH-EEE,BC-C,1559
