Institute Name,Branch Code,OC BOYS,OC GIRLS,"BC_A BOYS","BC_A GIRLS","BC_B BOYS","BC_B GIRLS","BC_C BOYS","BC_C GIRLS","BC_D BOYS","BC_D GIRLS","BC_E BOYS","BC_E GIRLS","SC BOYS","SC GIRLS","ST BOYS","ST GIRLS","EWS BOYS","EWS GIRLS"
JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH  -5 YEAR INTEGRATED MTECH  SELF FINANCE,CSE,6190,6190,14946,14946,10037,11074,6190,6190,6394,10385,11524,26133,22122,22122,23187,29569,8471,8471
KESHAV MEMORIAL INST OF TECHNOLOGY,CSE,6524,6524,16130,21945,8394,11369,20337,28661,9098,10800,10730,16978,33042,33042,37759,38510,6565,7012
GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,CSM,6749,7432,17466,20363,10156,10513,6749,31078,7890,10032,13023,22691,26209,27776,36373,51680,6749,7993
KESHAV MEMORIAL INST OF TECHNOLOGY,CSM,6935,7419,17319,23916,10986,12530,14362,52440,10538,10544,15557,20806,41340,42140,49617,63717,6935,8171
CVR COLLEGE OF ENGINEERING,CSE,7257,7360,21480,24635,11130,12511,22519,39850,10660,10660,19834,19834,33325,33325,33030,57330,7530,7530
GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,CSD,7328,8744,17483,21549,12610,12610,40407,40407,10005,12779,17268,25340,31904,37252,40007,55807,7328,8744
GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,CSI,7533,9027,31386,33506,13381,13876,7533,9027,13028,13869,19595,40561,42073,60989,49076,52386,8027,10389
M V S R ENGINEERING COLLEGE (AUTONOMOUS),CSM,7620,12954,38325,38325,17070,18190,7620,56190,16325,18874,22286,22286,41344,50807,17058,58645,11408,12954
M V S R ENGINEERING COLLEGE (AUTONOMOUS),CSI,7652,14777,37282,51189,24267,24267,7652,14777,21546,24599,29116,53355,69720,70788,68718,81121,13912,14921
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CSE,7770,10306,18565,25570,14980,15132,27745,27745,12580,13066,16473,23411,29490,34171,39032,55599,9101,10306
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,ECE,7775,7899,21055,31855,13054,15272,27484,74712,11236,14812,16336,19354,32133,32133,27816,34988,7775,9881
KESHAV MEMORIAL INST OF TECHNOLOGY,CSD,7847,8082,19583,26726,13144,13144,26410,26410,10812,11997,12893,20481,42454,45949,53014,66776,7847,8615
CVR COLLEGE OF ENGINEERING,CSM,7937,8116,22542,25932,12386,13227,34166,34166,12501,12540,23835,31630,40223,42076,39468,58402,8434,8434
V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,ECE,8386,8485,26741,28277,12156,12678,40117,44822,13616,13616,19402,41305,37511,41264,44241,49516,9582,10135
GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,CSB,8526,10224,21228,22026,15122,15709,8526,10224,12281,18276,22952,22952,39749,43846,45316,80872,9448,10224
KESHAV MEMORIAL INST OF TECHNOLOGY,INF,8559,9517,23812,26986,14602,14602,34439,34439,11341,13006,25125,25125,45560,51293,62971,82582,9246,9517
B V RAJU INSTITUTE OF TECHNOLOGY,CSE,8622,9680,20685,25536,13530,14246,26364,32434,13431,13431,28015,37585,39083,40652,39794,55111,9190,9680
GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,CSA,8729,9434,24240,25796,11103,13243,29073,29073,12378,13016,20738,20738,45032,68110,67047,104372,9747,9747
CVR COLLEGE OF ENGINEERING,CSD,9050,9340,27988,28375,16452,16452,53868,53868,14573,17222,21058,32013,44737,45319,42650,58280,9050,10492
O U COLLEGE OF ENGG  HYDERABAD,EEE,9174,11981,16733,45741,14622,17290,47989,47989,23559,28226,42695,52986,35690,35690,23406,25212,12881,17972
GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,INF,9201,9201,23073,23073,15032,17061,40422,40422,12975,16078,21217,26845,41473,41474,46799,58272,9381,9671
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CSM,9625,9625,17533,25539,15055,15395,9625,42876,14893,17019,17282,17282,35775,39834,45641,70465,9625,10470
VASAVI COLLEGE OF ENGINEERING,ECE,9876,10740,25424,37489,15332,20395,9876,22133,16577,16629,23913,23913,36514,45557,44661,55803,9876,10740
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CSD,9893,10663,29754,34446,18180,18180,43994,43994,16043,17586,19604,25948,39774,39774,49191,49191,9893,10663
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),INF,10008,10008,35559,35559,18159,20197,10008,72052,17249,18864,25679,25679,46773,56016,53022,53022,11506,11506
SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,CSE,10097,10868,28073,38505,18073,19049,41405,41405,16669,17779,27887,42469,41491,52454,46149,59095,10893,11588
VARDHAMAN COLLEGE OF ENGINEERING,CSE,10377,10742,32043,37530,18357,18357,32580,32580,17643,17680,24210,33556,40168,40168,46494,56519,10594,11256
JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD,EEE,10499,11007,27973,27973,12133,12133,21711,21711,18736,30766,36168,52042,24006,25098,21088,29804,12328,14493
CVR COLLEGE OF ENGINEERING,AIM,10696,11048,26920,29852,18988,20214,10696,11048,14682,17928,10696,33336,41449,72250,68099,73628,11121,11795
B V RAJU INSTITUTE OF TECHNOLOGY,CSM,10971,10971,30996,30996,16395,16395,46542,46542,15998,17875,28221,38414,47171,49899,63564,85045,10971,11385
M V S R ENGINEERING COLLEGE (AUTONOMOUS),CSE,10983,11176,34748,37132,16645,17205,37527,37527,17986,17986,25272,36081,40003,40751,19508,45984,10983,11628
CVR COLLEGE OF ENGINEERING,AID,11015,11358,31765,32338,18632,19160,11015,11358,15542,21304,33090,33090,55268,56232,62441,78899,11499,11499
B V RAJU INSTITUTE OF TECHNOLOGY,CSD,11310,11340,33232,33232,19884,19884,11310,11340,16745,18088,34898,61253,50833,55324,64091,82205,11475,11475
VARDHAMAN COLLEGE OF ENGINEERING,CSM,11507,12173,35725,38427,20185,21177,58195,58195,18119,18119,19911,34625,46331,46852,52385,72767,11507,12789
GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,ECE,11610,11610,27280,39031,15982,15982,30392,30392,17606,17606,24289,49257,42793,53699,43294,78680,11610,11610
M V S R ENGINEERING COLLEGE (AUTONOMOUS),CSD,11636,12746,37949,37949,18539,21543,11636,12746,20293,21102,27670,27670,49037,57808,24769,62741,12086,12746
ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),CSE,11653,13673,33126,33395,20909,20909,33372,33372,19922,20898,29960,35020,40863,42977,40789,53194,13062,14044
CVR COLLEGE OF ENGINEERING,CSC,11709,11868,30551,39343,20130,20130,11709,16271,16290,18393,26360,45109,50138,50552,47879,74007,11709,11868
JNTUH UNIVERSITY COLLEGE OF ENGINEERING  JAGITIAL (AUTONOMOUS),CSE,11878,11878,22198,25711,18757,18757,57215,57215,18528,18821,25236,25259,30319,30319,50409,50409,14500,15143
VARDHAMAN COLLEGE OF ENGINEERING,CSD,12061,12709,36482,36482,20459,21533,12061,12709,18871,18871,12061,51091,55593,59375,47756,97702,12061,12709
SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,CSM,12159,13323,33384,41731,22081,22081,41555,41555,19060,19515,30853,43942,46419,51866,59833,76834,12329,13585
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,CSE,12384,15097,29277,29277,22642,22642,39569,39569,19982,19984,26430,26430,42674,44709,53534,60965,20161,20161
M V S R ENGINEERING COLLEGE (AUTONOMOUS),CIC,12423,14736,49197,49197,24054,33517,92349,92349,24265,35400,40325,50226,63945,63953,67810,67810,13572,14736
CVR COLLEGE OF ENGINEERING,CSB,12426,12684,36660,36660,24784,24784,12426,12684,19860,19860,19085,55856,64336,72985,90221,115867,12426,12882
ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),AI,12555,13361,37872,46271,23773,23773,12555,13361,20134,30846,36481,36481,43114,43114,47365,47365,14683,17790
JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD,MEC,12617,16502,18512,66180,17092,27648,12617,16502,27350,29927,54645,130198,47261,48243,37258,39507,17297,44793
NEIL GOGTE INST OF TECHNOLOGY,CSE,12742,14195,32912,36994,16823,16823,54277,54277,16522,19193,32511,32511,56018,81090,65479,96428,12920,14195
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSD,12778,16562,37435,43386,28303,28303,12778,16562,22160,25090,48672,48672,58062,61531,87616,95132,17636,17636
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CSB,12971,13448,33518,44258,24277,24277,12971,13448,18640,18640,24740,24740,45124,48649,54134,85773,12971,13448
CVR COLLEGE OF ENGINEERING,ECE,13046,13555,34398,45420,23712,23712,13046,74973,24460,24460,31265,59284,51022,58550,53227,143654,13724,14102
M V S R ENGINEERING COLLEGE (AUTONOMOUS),INF,13077,14594,49733,60160,26977,29655,115643,115643,25388,25752,35932,68152,68677,68677,69469,73413,15283,15283
B V RAJU INSTITUTE OF TECHNOLOGY,AID,13094,13697,37888,37888,22537,22744,20863,20863,17118,20902,24766,59900,58755,59224,74534,91083,13094,13697
SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,CSD,13204,15391,35614,41920,23914,24175,53843,96951,19845,20485,33078,51412,50043,52404,63267,79816,13204,15391
INSTITUTE OF AERONAUTICAL ENGINEERING,CSE,13650,13650,38547,39709,23582,25559,53160,53160,22096,22646,29103,49990,59761,59774,59142,87503,14464,14637
SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,CSC,13694,13694,30545,32563,21939,24359,13694,98519,22116,22478,33132,44500,51955,54981,62686,78892,13694,14996
O U COLLEGE OF ENGG  HYDERABAD,CIV,13701,18735,30859,36306,36629,43359,115575,115575,36322,47652,31485,98775,38327,38327,34769,53392,32054,32054
B V RAJU INSTITUTE OF TECHNOLOGY,INF,13707,13804,37747,45130,23898,23898,13707,73472,21499,21499,32394,53423,69505,69505,89245,109719,13707,13804
B V RAJU INSTITUTE OF TECHNOLOGY,CSB,13790,15068,35848,55208,24341,24341,13790,15068,18624,23330,30268,30268,59754,73925,69849,134647,13790,15359
JNTUH UNIVERSITY COLLEGE OF ENGINEERING  SULTANPUR,CSE,13968,13968,23950,28880,21003,23987,41739,41739,18963,23403,25270,32324,38862,38862,32339,32339,15450,30073
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,EEE,14028,18279,55258,57605,30693,30693,14028,18279,34577,34577,29755,45883,47833,47833,46658,66312,15410,22307
NEIL GOGTE INST OF TECHNOLOGY,CSM,14268,15990,33874,45700,22279,23408,14268,73001,20900,20900,51953,54835,78613,78613,112527,136984,14268,15990
JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH  -5 YEAR INTEGRATED MTECH  SELF FINANCE,ECE,14282,14282,35361,46017,15954,18002,14282,21927,15654,15654,16105,37850,30567,30567,35334,35334,14282,15255
VARDHAMAN COLLEGE OF ENGINEERING,INF,14572,15918,38948,43505,24919,24919,60952,60952,21802,22533,31680,36035,62127,67639,78093,96412,14572,15918
BHASKAR ENGINEERING COLLEGE,CSE,14879,14879,142496,142496,146587,146587,14879,14879,121419,133855,114644,119154,156633,156633,153207,153207,145479,145479
CVR COLLEGE OF ENGINEERING,EEE,14985,14985,80759,85670,47788,47788,14985,14985,67112,67112,115918,115918,53845,142136,89431,153507,14985,42804
SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,INF,15153,15720,40251,42662,27325,28664,44418,79404,25154,25154,43715,53582,70163,70163,69826,94816,15164,15720
SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,CSO,15165,15817,42385,42385,28111,28111,65509,65509,26760,31626,15165,51805,73254,73254,71112,81566,15317,17748
INSTITUTE OF AERONAUTICAL ENGINEERING,CSM,15403,16492,40940,45867,27853,29283,53884,53884,24065,24065,38480,52648,62569,73135,80393,118017,15777,16492
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSE,15644,15644,37564,45411,25219,25219,48441,48441,22931,22931,30210,56972,55551,55551,58439,73101,15644,15644
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),ECE,15791,18018,50006,68642,29114,37219,62234,62234,28105,28105,40781,51265,57311,61643,60843,83005,16203,18018
O U COLLEGE OF ENGG  HYDERABAD,MEC,15968,18613,31818,57651,24526,43345,15968,18613,28034,42451,19946,19946,42079,60077,35442,48678,29253,35376
INSTITUTE OF AERONAUTICAL ENGINEERING,CSD,16648,18286,43542,49928,29835,29984,61478,61478,27166,27166,39542,63312,69466,75413,95116,127213,16648,18394
KESHAV MEMORIAL ENGINEERING COLLEGE,CSE,16654,18424,44988,52705,30694,30694,56903,56903,24834,30135,90073,99876,82994,98804,116790,153311,18454,18454
NEIL GOGTE INST OF TECHNOLOGY,CS,16700,16700,50080,50080,23242,33527,21864,21864,19954,21986,99683,116330,114780,148924,100538,156023,16769,16780
JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD,CIV,16772,16772,34818,34818,28904,28904,37136,42340,32304,32304,58834,66175,38748,38748,39042,52837,21589,38023
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSM,16814,16921,47550,53844,27710,28028,63804,63804,25979,26937,44355,68539,73557,82202,98304,117470,17546,17546
V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH,EEE,16848,22916,63485,95741,34068,39055,16848,22916,30478,40750,62944,94161,71007,73386,79040,101063,22429,24940
MATRUSRI ENGINEERING COLLEGE ( AUTONOMOUS),CSE,17328,19401,47680,50572,30351,32890,17328,19401,30534,30534,35858,40677,72728,76975,89377,89377,18489,19401
VARDHAMAN COLLEGE OF ENGINEERING,ECE,17340,17340,49239,53488,33803,35279,48109,81393,30790,34076,54265,59273,73811,79167,70950,112684,18160,18160
M V S R ENGINEERING COLLEGE (AUTONOMOUS),ECE,17465,20718,50517,117513,36229,45581,17465,143562,34093,34513,68045,101980,78282,83868,74669,122597,20276,21725
ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),INF,17515,17515,43684,45745,27649,28333,17515,66601,26046,28070,38303,74084,65594,77512,92060,122575,17515,18164
JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH  -5 YEAR INTEGRATED MTECH  SELF FINANCE,EEE,17849,22002,51456,83835,44782,50327,41037,41037,39242,39242,124318,138667,60882,65505,74303,74303,25814,48374
INSTITUTE OF AERONAUTICAL ENGINEERING,INF,18228,19544,47130,47130,33104,33104,18228,98015,30670,30670,45313,66039,81097,84504,107425,121154,18228,19544
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSC,18245,19490,46592,54188,29701,31125,18245,97067,29986,30105,52539,52539,78265,78265,89933,129035,18964,19490
B V RAJU INSTITUTE OF TECHNOLOGY,ECE,18371,18371,52357,52357,31795,31795,105989,105989,26621,31043,48289,75055,91089,92193,105047,137497,19282,20048
INSTITUTE OF AERONAUTICAL ENGINEERING,CSC,18659,18800,47678,56197,31370,35514,54365,62248,31109,31115,47573,67510,76020,95356,103345,143361,18659,19223
JNTUH UNIVERSITY COLLEGE OF ENGINEERING  SULTANPUR,CSM,19011,19011,28385,60648,31564,31564,19011,19011,30716,37768,37648,62354,46363,49894,36341,36341,19011,40062
KESHAV MEMORIAL ENGINEERING COLLEGE,CSM,19230,19928,52090,52090,34787,35461,19230,19928,28255,34375,56607,99644,105691,141519,148252,155741,19230,20244
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,CSM,19420,19420,41887,60114,29199,32835,19420,19420,21265,22242,26011,26011,53330,56347,75080,75651,20489,20489
SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE) ,CSE,19441,20775,57203,57203,32633,34836,62842,62842,29408,29408,35060,35060,73951,73951,85396,89787,24627,28519
VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS,CSM,19645,21749,55926,70842,37915,43788,88846,88846,39805,39944,53723,55877,80964,80964,104670,147550,24488,24488
JNTUH UNIVERSITY COLLEGE OF ENGINEERING  SULTANPUR,ECE,19716,21270,36903,58316,38973,39765,19716,21270,40093,40093,43854,110476,59720,75729,54616,54616,32882,39389
VASAVI COLLEGE OF ENGINEERING,EEE,19945,19945,78454,87201,38560,60992,19945,19945,31987,55163,68831,69134,66806,68473,57749,74960,21882,23155
M L R INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CSE,20317,21707,54542,63111,32075,34466,59671,66132,29685,31799,48463,55853,75534,75735,90523,138727,20606,21707
GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,EEE,20436,20436,59620,73318,59321,61125,20436,20436,46369,46369,71425,71425,72014,112110,66724,116765,24154,36013
VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS,CSE,20674,20674,40059,40059,34786,38358,63200,63200,32666,33298,37765,37765,54692,59852,62394,93016,20674,20674
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,CSD,20852,21937,37576,61823,33299,33543,41201,41201,23484,26234,29002,47514,57432,65724,76968,96905,20934,30148
GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSE,21027,22230,51976,62021,32963,32963,38768,87656,32148,34091,51845,51845,61261,65335,93917,98132,21326,22230
MALLAREDDY ENGINEERING COLLEGE (AUTONOMOUS),CSE,21030,21066,46849,47754,29669,30816,42836,42836,29084,29084,49312,68282,62857,70996,70647,79538,21030,21644
CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,MEC,21411,42172,54482,127051,58425,86163,68608,68608,45613,66020,44380,144318,113621,149489,79136,149754,32822,50674
MATRUSRI ENGINEERING COLLEGE ( AUTONOMOUS),CSD,21472,22721,55776,61911,34161,34161,112745,112745,33469,35807,36861,41440,74589,92586,96664,145348,21472,23838
KESHAV MEMORIAL ENGINEERING COLLEGE,CS,21601,23102,59697,60331,36105,36105,36681,36681,35997,39164,54938,140119,129793,152334,145424,146940,22856,23102
VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS,AID,21926,32181,86047,89163,45852,45852,21926,32181,38442,43462,50519,68742,91209,115348,78569,156234,27246,32181
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,INF,21947,21947,59382,98755,40695,40695,40653,40653,40591,40591,34495,39543,96459,96459,93867,118118,26646,37801
GURUNANAK INST OF TECHNOLOGY (AUTONOMOUS),CSE,22057,22057,56581,66811,41358,48591,133136,133136,36509,36509,56409,70881,65125,65381,74981,88778,25606,28490
JNTUH UNIVERSITY COLLEGE OF ENGINEERING  JAGITIAL (AUTONOMOUS),INF,22069,22069,27011,27011,29395,29395,22069,22069,32603,32603,49198,93556,66027,66027,62316,62316,27877,27877
VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS,CSD,22312,24791,55607,60197,45300,45689,95020,95020,45351,54075,39506,52100,79195,79195,94342,134746,25738,25835
KU COLLEGE OF ENGINEERING  AND TECHNOLOGY,CSD,22322,28142,53549,84983,42995,57393,22322,67279,46051,46755,51822,64896,83621,90531,67561,74322,42556,42556
MALLAREDDY ENGINEERING COLLEGE (AUTONOMOUS),CSM,22408,23829,59956,61495,32979,39380,92243,92243,33217,33352,57000,71511,84756,84756,114089,148476,22488,23829
M L R INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CSM,22487,24519,60759,69187,32854,36562,28270,106042,33756,36361,53722,78286,88688,107408,146896,154436,22487,24519
GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CSM,22696,24676,64783,68658,36144,39016,74625,74625,36497,37251,64330,104128,85494,123982,148162,150358,24037,24676
C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),EEE,23202,23202,136297,143434,130034,145117,23202,112998,94842,111313,23202,69707,129670,150969,153117,153117,83035,83035
KU COLLEGE OF ENGINEERING  AND TECHNOLOGY,CSE,23342,25299,27761,29337,32896,32896,23342,25299,23342,27142,29900,37854,36722,42345,40461,40461,32330,32330
JNTUH UNIVERSITY COLLEGE OF ENGINEERING RAJANNA SIRCILLA,CSE,23366,23366,40033,60095,39330,45069,23366,95057,53228,55510,104179,104179,90365,93632,90344,101783,63767,74068
JNTUH UNIVERSITY COLLEGE OF ENGINEERING  JAGITIAL (AUTONOMOUS),ECE,23386,32027,32113,37077,33067,33067,23386,142863,36866,36866,56664,56664,63016,95584,57151,57151,38447,75119
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),EEE,23486,23486,131907,131907,44013,86031,23486,23486,62892,62892,82526,82526,88592,125494,81257,145864,31398,33561
JNTUH UNIVERSITY COLLEGE OF ENGG  MANTHANI,CSE,23498,25703,39251,39251,30469,33116,23498,25703,26272,34604,56471,115645,57267,79564,42872,56297,37597,75421
CMR TECHNICAL CAMPUS (AUTONOMOUS),INF,23631,39285,98820,103480,59742,63854,23631,56219,52516,62456,97668,134957,127194,127539,149838,155907,40355,40355
SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,ECE,23942,24527,64757,68995,37438,38964,85867,109680,34532,35910,60703,124351,82427,91296,91602,126940,23942,24527
CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CSE,24068,24068,57232,68878,35750,38417,97703,97703,32768,33192,55068,99407,86884,98124,97877,114603,24796,24796
GURUNANAK INST OF TECHNOLOGY (AUTONOMOUS),CSM,24330,29801,71796,108762,56593,69807,96383,102762,41009,44081,81845,101595,100260,100260,116095,153890,30630,30630
VIDYAJYOTHI INSTITUTE OF TECHNOLOGY AUTONOMOUS,AI,24664,29630,79900,85212,50211,53319,89954,89954,45699,49602,31317,57533,84918,84918,127995,144130,32802,34896
MATRUSRI ENGINEERING COLLEGE ( AUTONOMOUS),INF,25070,25286,67124,70657,41200,45932,52209,52209,37636,48278,38054,48773,103223,113190,126658,153361,25070,25286
MALLAREDDY ENGINEERING COLLEGE (AUTONOMOUS),CSD,25279,25279,66127,69670,34138,38639,61207,91963,35454,39727,62894,62894,89180,112127,121863,142423,25279,25411
M L R INSTITUTE OF TECHNOLOGY (AUTONOMOUS),CSD,25370,25432,65871,65871,37752,40869,74905,74905,36029,43819,65802,83157,96515,110654,150640,153701,25507,26661
SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,EEE,25453,25453,138033,142201,75340,105195,68865,68865,66979,88076,123963,123963,107256,110427,110403,142313,47952,60790
KESHAV MEMORIAL COLLEGE OF ENGINEERING,CSE,25466,31716,90168,111577,45623,45623,25466,50232,48643,48893,75544,113490,122818,148629,147623,151849,26372,31716
